L (cm),I (A),i (A),m (kg),g,F,,,,
10.10,4.0,0.57,0.51,,,,error of balance?? remember to add up errors,,
10.10,4.0,1.72,1.48,,,,0.01,,
10.10,4.0,0.14,0.19,,,,,,
10.10,4.0,0.92,0.78,,,,,,
10.10,4.0,1.99,1.69,,,,,,
10.10,3.5,0.3,0.19,,,,,,
10.10,3.5,0.62,0.45,,,,,,
10.10,3.5,1.73,1.2,,,,,,
10.10,3.5,2.2,1.48,,,,,,
10.10,3.5,2.47,1.69,,,,,,
10.10,3.0,0.39,0.35,,,,,,
10.10,3.0,0.57,0.45,,,,,,
10.10,3.0,0.94,0.78,,,,,,
10.10,3.0,2.54,1.46,,,,,,
10.10,3.0,2.95,1.63,,,,,,
10.10,2.5,0.41,0.19,,,,,,
10.10,2.5,0.92,0.51,,,,,,
10.10,2.5,1.48,0.78,,,,,,
10.10,2.5,2.33,1.48,,,,,,
10.10,2.5,3.09,1.59,,,current couldn't go high enought for 1.69 mass,,,or 1.63
10.10,2.0,0.1,0.05,,,,,,
10.10,2.0,0.19,0.19,,,,,,
10.10,2.0,1.04,0.51,,,,,,
10.10,2.0,1.9,0.78,,,,,,
10.10,2.0,3.08,1.69,,,,,,