I0,theta0 (deg),Theta,Ii,Thetai degree,radians,cos^2(theta),is,error,I error = 1
959.89,-169.6,-168.6,959.36,1,0.01745329252,0.9996954135,0.9994478534,0.001,thetaerr = 0.1
959.89,-169.6,-167.7,959.93,1.9,0.03316125579,0.9989007341,1.000041671,0.001,
959.89,-169.6,-166.7,958.36,2.9,0.05061454831,0.9974403544,0.9984060674,0.001,
959.89,-169.6,-165.9,955.98,3.7,0.06457718232,0.9958355812,0.9959266166,0.001,
959.89,-169.6,-164.9,953.50,4.7,0.08203047484,0.9932860808,0.9933429872,0.001,
959.89,-169.6,-163.6,950.27,6,0.1047197551,0.9890738004,0.9899780183,0.001,
959.89,-169.6,-162.4,948.76,7.2,0.1256637061,0.9842915806,0.9884049214,0.001,
959.89,-169.6,-161.0,944.10,8.6,0.1500983157,0.9776391811,0.9835501985,0.001,
959.89,-169.6,-159.8,937.42,9.8,0.1710422667,0.9710287264,0.9765910677,0.001,
959.89,-169.6,-158.8,930.83,10.8,0.1884955592,0.9648882429,0.9697256977,0.001,
959.89,-169.6,-157.5,921.15,12.1,0.2111848395,0.9560600581,0.9596412089,0.001,
959.89,-169.6,-156.3,914.40,13.3,0.2321287905,0.9470771184,0.9526091531,0.001,
959.89,-169.6,-154.9,905.75,14.7,0.2565634,0.9356069056,0.9435977039,0.001,
959.89,-169.6,-153.5,896.31,16.1,0.2809980096,0.9230965831,0.9337632437,0.001,
959.89,-169.6,-151.9,881.65,17.7,0.3089232776,0.9075638979,0.9184906604,0.001,
959.89,-169.6,-150.4,864.31,19.2,0.3351032164,0.8918467287,0.9004260905,0.001,
959.89,-169.6,-148.9,847.73,20.7,0.3612831552,0.8750555348,0.883153278,0.001,
959.89,-169.6,-147.4,830.50,22.2,0.3874630939,0.8572363398,0.8652033045,0.001,
959.89,-169.6,-146.3,815.60,23.3,0.4066617157,0.8435437554,0.8496806926,0.001,
959.89,-169.6,-145.0,801.44,24.6,0.429350996,0.826710302,0.8349290023,0.001,
959.89,-169.6,-122.3,457.19,47.3,0.8255407362,0.4599005378,0.4762941587,0.001,
959.89,-169.6,-77.8,6.62,91.8,1.602212253,0.0009866357859,0.006896623571,0.001,